lots,modes,c0,opex,vpub,cash,kcash,t_rep,readiness,resilience,scale,territorial_archetypes,capability_groups,public_core_lots,BASE_ok,chk_exact_lot_count,chk_territorial_archetypes,chk_capability_groups,chk_public_core_lots,chk_c0_limit,chk_opex_limit,chk_vpub_floor,chk_kcash_floor,chk_t_rep_floor,STRESS_ok
FIRE+FLOOD+AGRI+INFRA,AAAA,1291.5,346.5,1690.0,321.25,0.927128,0.6875,4.25,3.95,4.525,4,2,4,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,AAAB,1276.0,342.5,1636.0,357.5,1.043796,0.6875,4.25,3.95,4.525,4,2,3,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,AAAC,1269.8,338.5,1576.0,364.5,1.076809,0.6875,4.25,3.95,4.525,4,2,3,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,AABA,1278.5,342.75,1648.6,369.25,1.077316,0.6875,4.25,3.95,4.525,4,2,3,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,AABB,1263.0,338.75,1594.6,405.5,1.197048,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,AABC,1256.8,334.75,1534.6,412.5,1.232263,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,AACA,1273.3,339.0,1602.6,388.75,1.146755,0.6875,4.25,3.95,4.525,4,2,3,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,AACB,1257.8,335.0,1548.6,425.0,1.268657,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,AACC,1251.6,331.0,1488.6,432.0,1.305136,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABAA,1274.5,342.0,1582.0,324.5,0.94883,0.6875,4.25,3.95,4.525,4,2,3,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABAB,1259.0,338.0,1528.0,360.75,1.067308,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABAC,1252.8,334.0,1468.0,367.75,1.101048,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABBA,1261.5,338.25,1540.6,372.5,1.101256,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABBB,1246.0,334.25,1486.6,408.75,1.222887,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABBC,1239.8,330.25,1426.6,415.75,1.258895,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABCA,1256.3,334.5,1494.6,392.0,1.171898,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABCB,1240.8,330.5,1440.6,428.25,1.295764,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ABCC,1234.6,326.5,1380.6,435.25,1.333078,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACAA,1267.7,337.5,1462.0,306.0,0.906667,0.6875,4.25,3.95,4.525,4,2,3,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACAB,1252.2,333.5,1408.0,342.25,1.026237,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACAC,1246.0,329.5,1348.0,349.25,1.059939,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACBA,1254.7,333.75,1420.6,354.0,1.060674,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACBB,1239.2,329.75,1366.6,390.25,1.183472,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACBC,1233.0,325.75,1306.6,397.25,1.219493,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACCA,1249.5,330.0,1374.6,373.5,1.131818,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACCB,1234.0,326.0,1320.6,409.75,1.256902,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,ACCC,1227.8,322.0,1260.6,416.75,1.294255,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BAAA,1275.5,342.25,1589.2,322.0,0.940833,0.6875,4.25,3.95,4.525,4,2,3,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BAAB,1260.0,338.25,1535.2,358.25,1.059128,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BAAC,1253.8,334.25,1475.2,365.25,1.092745,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BABA,1262.5,338.5,1547.8,370.0,1.093058,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BABB,1247.0,334.5,1493.8,406.25,1.214499,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BABC,1240.8,330.5,1433.8,413.25,1.250378,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BACA,1257.3,334.75,1501.8,389.5,1.163555,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BACB,1241.8,330.75,1447.8,425.75,1.287226,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BACC,1235.6,326.75,1387.8,432.75,1.324407,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBAA,1258.5,337.75,1481.2,325.25,0.96299,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBAB,1243.0,333.75,1427.2,361.5,1.083146,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBAC,1236.8,329.75,1367.2,368.5,1.117513,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBBA,1245.5,334.0,1439.8,373.25,1.117515,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBBB,1230.0,330.0,1385.8,409.5,1.240909,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBBC,1223.8,326.0,1325.8,416.5,1.277607,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBCA,1240.3,330.25,1393.8,392.75,1.189251,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBCB,1224.8,326.25,1339.8,429.0,1.314943,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BBCC,1218.6,322.25,1279.8,436.0,1.352987,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCAA,1251.7,333.25,1361.2,306.75,0.92048,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCAB,1236.2,329.25,1307.2,343.0,1.041762,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCAC,1230.0,325.25,1247.2,350.0,1.076095,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCBA,1238.7,329.5,1319.8,354.75,1.076631,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCBB,1223.2,325.5,1265.8,391.0,1.201229,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCBC,1217.0,321.5,1205.8,398.0,1.237947,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCCA,1233.5,325.75,1273.8,374.25,1.148887,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCCB,1218.0,321.75,1219.8,410.5,1.275835,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,BCCC,1211.8,317.75,1159.8,417.5,1.313926,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CAAA,1269.1,338.0,1477.2,304.5,0.900888,0.6875,4.25,3.95,4.525,4,2,3,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CAAB,1253.6,334.0,1423.2,340.75,1.02021,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CAAC,1247.4,330.0,1363.2,347.75,1.053788,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CABA,1256.1,334.25,1435.8,352.5,1.0546,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CABB,1240.6,330.25,1381.8,388.75,1.177139,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CABC,1234.4,326.25,1321.8,395.75,1.213027,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CACA,1250.9,330.5,1389.8,372.0,1.125567,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CACB,1235.4,326.5,1335.8,408.25,1.250383,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CACC,1229.2,322.5,1275.8,415.25,1.287597,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBAA,1252.1,333.5,1369.2,307.75,0.922789,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBAB,1236.6,329.5,1315.2,344.0,1.044006,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBAC,1230.4,325.5,1255.2,351.0,1.078341,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBBA,1239.1,329.75,1327.8,355.75,1.078848,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBBB,1223.6,325.75,1273.8,392.0,1.203377,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBBC,1217.4,321.75,1213.8,399.0,1.240093,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBCA,1233.9,326.0,1281.8,375.25,1.151074,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBCB,1218.4,322.0,1227.8,411.5,1.27795,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CBCC,1212.2,318.0,1167.8,418.5,1.316038,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCAA,1245.3,329.0,1249.2,289.25,0.879179,0.6875,4.25,3.95,4.525,4,2,2,True,True,True,True,True,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCAB,1229.8,325.0,1195.2,325.5,1.001538,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCAC,1223.6,321.0,1135.2,332.5,1.035826,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCBA,1232.3,325.25,1207.8,337.25,1.036895,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCBB,1216.8,321.25,1153.8,373.5,1.162646,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCBC,1210.6,317.25,1093.8,380.5,1.19937,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCCA,1227.1,321.5,1161.8,356.75,1.109642,0.6875,4.25,3.95,4.525,4,2,1,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCCB,1211.6,317.5,1107.8,393.0,1.237795,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+INFRA,CCCC,1205.4,313.5,1047.8,400.0,1.275917,0.6875,4.25,3.95,4.525,4,2,0,False,True,True,True,False,True,True,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AAAA,1449.0,409.5,1860.0,358.75,0.876068,0.6475,4.025,3.65,4.275,4,3,4,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AAAB,1426.0,402.5,1775.4,402.5,1.0,0.6475,4.025,3.65,4.275,4,3,3,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AAAC,1416.8,395.5,1681.4,406.5,1.027813,0.6475,4.025,3.65,4.275,4,3,3,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AABA,1436.0,405.75,1818.6,406.75,1.002465,0.6475,4.025,3.65,4.275,4,3,3,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AABB,1413.0,398.75,1734.0,450.5,1.129781,0.6475,4.025,3.65,4.275,4,3,2,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AABC,1403.8,391.75,1640.0,454.5,1.160179,0.6475,4.025,3.65,4.275,4,3,2,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AACA,1430.8,402.0,1772.6,426.25,1.060323,0.6475,4.025,3.65,4.275,4,3,3,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AACB,1407.8,395.0,1688.0,470.0,1.189873,0.6475,4.025,3.65,4.275,4,3,2,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,AACC,1398.6,388.0,1594.0,474.0,1.221649,0.6475,4.025,3.65,4.275,4,3,2,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,ABAA,1432.0,405.0,1752.0,362.0,0.893827,0.6475,4.025,3.65,4.275,4,3,3,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,ABAB,1409.0,398.0,1667.4,405.75,1.019472,0.6475,4.025,3.65,4.275,4,3,2,False,True,True,True,True,False,False,True,True,True,False
FIRE+FLOOD+AGRI+ARCTIC,ABAC,1399.8,391.0,1573.4,409.75,1.047954,0.6475,4.025,3.65,4.275,4,3,2,False,True,True,True,True,False,False,True,True,True,False
